case,interpretation,service,alpha,beta,service_index_2025_2021_1,service_log_growth_2021_2025_per_year,service_discrete_cagr_2021_2025,price_index_2025_2021_1,autonomous_index_2025_2021_1,autonomous_log_growth_2021_2025_per_year,autonomous_discrete_cagr_2021_2025,identification_status,start_A
alpha_low,one_factor_income_exponent_sensitivity_holding_central_elasticities,inference,0.5,-0.5,14.331510697811368,0.6656151645805111,0.9456870710324587,0.34448171206840217,7.7800834917942945,0.5128917674314535,0.6701137993518158,conditional_accounting_residual_not_joint_estimate,1.0
alpha_low,one_factor_income_exponent_sensitivity_holding_central_elasticities,conv,0.5,-0.5,2.6109892721847716,0.23993229525218293,0.27116308363186414,0.5552713143199481,1.7995623835072065,0.14688587876745504,0.15822177779058566,conditional_accounting_residual_not_joint_estimate,1.0
alpha_high,one_factor_income_exponent_sensitivity_holding_central_elasticities,training,1.5,-0.5,9.335777121232242,0.5584635054130465,0.74798466692537,0.34448171206840217,4.665715311043769,0.3850602895613227,0.46970292651485135,conditional_accounting_residual_not_joint_estimate,1.0
alpha_high,one_factor_income_exponent_sensitivity_holding_central_elasticities,inference,1.5,-0.5,14.331510697811368,0.6656151645805111,0.9456870710324587,0.34448171206840217,7.16241915641836,0.4922119487287874,0.6359308159197963,conditional_accounting_residual_not_joint_estimate,1.0
alpha_high,one_factor_income_exponent_sensitivity_holding_central_elasticities,conv,1.5,-0.5,2.6109892721847716,0.23993229525218293,0.27116308363186414,0.5552713143199481,1.6566943147070654,0.12620606006478893,0.13451592262300038,conditional_accounting_residual_not_joint_estimate,1.0
ai_beta_less_elastic,ai_price_elasticity_sensitivity_precedent_lower_edge,training,1.0,-0.2,9.335777121232242,0.5584635054130465,0.74798466692537,0.34448171206840217,6.6946927006515855,0.4753287695654283,0.6085429505288842,conditional_accounting_residual_not_joint_estimate,1.0
ai_beta_less_elastic,ai_price_elasticity_sensitivity_precedent_lower_edge,inference,1.0,-0.2,14.331510697811368,0.6656151645805111,0.9456870710324587,0.34448171206840217,10.277136955180861,0.582480428732893,0.7904740706619009,conditional_accounting_residual_not_joint_estimate,1.0
ai_beta_less_elastic,ai_price_elasticity_sensitivity_precedent_lower_edge,conv,1.0,-0.5,2.6109892721847716,0.23993229525218293,0.27116308363186414,0.5552713143199481,1.726651316773912,0.13654596941612196,0.1463075716543698,conditional_accounting_residual_not_joint_estimate,1.0
ai_beta_more_elastic,ai_price_elasticity_sensitivity_former_central,training,1.0,-0.8,9.335777121232242,0.5584635054130465,0.74798466692537,0.34448171206840217,3.5320785182846377,0.3154716282598833,0.37090571639096526,conditional_accounting_residual_not_joint_estimate,1.0
ai_beta_more_elastic,ai_price_elasticity_sensitivity_former_central,inference,1.0,-0.8,14.331510697811368,0.6656151645805111,0.9456870710324587,0.34448171206840217,5.422153979574076,0.42262328742734795,0.5259593396080255,conditional_accounting_residual_not_joint_estimate,1.0
ai_beta_more_elastic,ai_price_elasticity_sensitivity_former_central,conv,1.0,-0.5,2.6109892721847716,0.23993229525218293,0.27116308363186414,0.5552713143199481,1.726651316773912,0.13654596941612196,0.1463075716543698,conditional_accounting_residual_not_joint_estimate,1.0
conv_beta_less_elastic,one_factor_conventional_price_elasticity_sensitivity,training,1.0,-0.5,9.335777121232242,0.5584635054130465,0.74798466692537,0.34448171206840217,4.862733827230155,0.3954001989126558,0.48497835874481243,conditional_accounting_residual_not_joint_estimate,1.0
conv_beta_less_elastic,one_factor_conventional_price_elasticity_sensitivity,inference,1.0,-0.5,14.331510697811368,0.6656151645805111,0.9456870710324587,0.34448171206840217,7.464865641132579,0.5025518580801205,0.6529339461855477,conditional_accounting_residual_not_joint_estimate,1.0
conv_beta_less_elastic,one_factor_conventional_price_elasticity_sensitivity,conv,1.0,-0.2,2.6109892721847716,0.23993229525218293,0.27116308363186414,0.5552713143199481,2.059932894285204,0.1806683516702967,0.1980177928006217,conditional_accounting_residual_not_joint_estimate,1.0
conv_beta_more_elastic,one_factor_conventional_price_elasticity_sensitivity,training,1.0,-0.5,9.335777121232242,0.5584635054130465,0.74798466692537,0.34448171206840217,4.862733827230155,0.3954001989126558,0.48497835874481243,conditional_accounting_residual_not_joint_estimate,1.0
conv_beta_more_elastic,one_factor_conventional_price_elasticity_sensitivity,inference,1.0,-0.5,14.331510697811368,0.6656151645805111,0.9456870710324587,0.34448171206840217,7.464865641132579,0.5025518580801205,0.6529339461855477,conditional_accounting_residual_not_joint_estimate,1.0
conv_beta_more_elastic,one_factor_conventional_price_elasticity_sensitivity,conv,1.0,-0.8,2.6109892721847716,0.23993229525218293,0.27116308363186414,0.5552713143199481,1.4472921802394947,0.0924235871619473,0.09682932651637355,conditional_accounting_residual_not_joint_estimate,1.0
fixed_workload_share,one_factor_training_inference_allocation_sensitivity_holding_central_elasticities,training,1.0,-0.5,12.208323927765239,0.6255295020617162,0.8692354594670404,0.34448171206840217,6.358959620224049,0.4624661955613256,0.5879854424521005,conditional_accounting_residual_not_joint_estimate,1.0
fixed_workload_share,one_factor_training_inference_allocation_sensitivity_holding_central_elasticities,inference,1.0,-0.5,12.20832392776524,0.6255295020617163,0.8692354594670406,0.34448171206840217,6.3589596202240495,0.4624661955613257,0.5879854424521007,conditional_accounting_residual_not_joint_estimate,1.0
fixed_workload_share,one_factor_training_inference_allocation_sensitivity_holding_central_elasticities,conv,1.0,-0.5,2.6109892721847716,0.23993229525218293,0.27116308363186414,0.5552713143199481,1.726651316773912,0.13654596941612196,0.1463075716543698,conditional_accounting_residual_not_joint_estimate,1.0
ai_beta_stress,product_level_own_price_upper_bound_Demirer_et_al_preferred_spec_-1.11_within_day_model_identification_category_aggregate_necessarily_smaller,training,1.0,-1.1,9.335777121232242,0.5584635054130465,0.74798466692537,0.34448171206840217,2.5655483319830346,0.23554305760711075,0.2655958736139332,conditional_accounting_residual_not_joint_estimate,1.0
ai_beta_stress,product_level_own_price_upper_bound_Demirer_et_al_preferred_spec_-1.11_within_day_model_identification_category_aggregate_necessarily_smaller,inference,1.0,-1.1,14.331510697811368,0.6656151645805111,0.9456870710324587,0.34448171206840217,3.9384170046160962,0.3426947167745754,0.4087386320007085,conditional_accounting_residual_not_joint_estimate,1.0
ai_beta_stress,product_level_own_price_upper_bound_Demirer_et_al_preferred_spec_-1.11_within_day_model_identification_category_aggregate_necessarily_smaller,conv,1.0,-0.5,2.6109892721847716,0.23993229525218293,0.27116308363186414,0.5552713143199481,1.726651316773912,0.13654596941612196,0.1463075716543698,conditional_accounting_residual_not_joint_estimate,1.0
